evt_date,maker,aave,dydx,compound,uniswap,curve,treasury,other,sushiswap,balancer,bridge,bancor,total
2022-07-01 00:00,3367970253.400378,900194393.933749,711159736.529145,657307092.19528,5541345758.585766,69884610.415517,327058110.325246,194015491.413025,244682494.876552,22238857.5875,3892832664.381533,1111761.155583,15929801224.799274
2022-07-02 00:00,3432619816.668069,996027251.98928,711438152.111477,646391465.509161,5527250630.63932,69635045.557941,326648110.325246,188243636.086329,245062333.682618,20952182.763267,3890798743.65637,1085909.351015,16056153278.340094
2022-07-03 00:00,3419633232.930219,1052278671.552143,709589362.666363,641266223.070447,5551043067.191053,69153652.849286,326648110.325246,185574235.083643,244948051.213989,21912684.687054,3880552237.586441,1079460.665389,16103678989.821274
2022-07-04 00:00,3483659093.256471,1081233143.05296,707559545.565282,651178845.247847,5600703434.071699,69056898.056433,326648110.325246,183357863.937554,245772716.097673,22755054.546115,3871665339.430218,1095252.272022,16244685295.85952
2022-07-05 00:00,3499205898.02968,1099485633.963496,676170146.663566,658283743.447923,5571228546.403519,68576252.818042,326904759.377381,175843364.985714,245665676.186204,22813737.12084,3894763194.801975,1084949.484928,16240025903.283268
2022-07-06 00:00,3481737411.598537,1215194897.519219,624265430.323389,650453380.282377,5610779526.838095,73205128.926649,326577259.377381,174326169.208437,246199590.669766,26488739.866867,3867192284.991039,1071258.97499,16297491078.576746
2022-07-07 00:00,3605107128.364049,1191383210.797544,607629242.732606,651289621.190145,5632517460.460874,75590772.27962,329716108.616327,171515496.671272,246844020.387872,27041597.992042,3459375106.914657,1092683.973984,15999102450.380993
2022-07-08 00:00,3616205183.909906,751598860.023293,606265007.921507,651285656.406839,5618699773.043224,76506001.659307,329718787.116327,169084261.691103,246615585.830156,28376481.13222,3456678472.348809,1084189.107053,15552118260.189745
2022-07-09 00:00,3606119300.947377,748797768.624758,583316098.481271,649603600.767023,5637733716.555144,76223776.554683,321718787.116327,166339063.581665,246653538.899173,28934063.112109,3455651735.363066,1080535.876207,15522171985.878803
2022-07-10 00:00,3636746830.954855,746966358.711213,585529852.251703,650462594.045269,5607795571.42416,75451056.355208,321211533.116327,162381946.279923,246012979.788207,26945137.011257,3449792117.89638,1058538.923163,15510354516.757666
2022-07-11 00:00,3671487465.808284,808952666.822006,586675878.325739,639894248.178484,5588774107.190797,72371043.024943,321211533.116327,158277693.376805,245344684.774236,25910713.495442,3447339346.984942,1038962.271505,15567278343.36951
2022-07-12 00:00,3618232647.936045,883826867.179264,585374135.703847,652515631.005269,5571385879.405853,71629175.01423,318711533.116327,154893473.66569,244569715.500413,24576414.343713,3392785726.216148,1018555.519195,15519519754.605993
2022-07-13 00:00,3678444081.502792,858212827.173749,538226837.452416,658770235.191957,5597506762.42073,69837577.728268,318711533.116327,147545389.418433,245653537.758131,23053995.887327,3371482567.694218,1035381.933743,15508480727.278091
2022-07-14 00:00,3716177187.259561,853294359.090409,547919773.930828,660027682.152824,5659167625.064109,69657285.21539,318711533.116327,151708453.505756,246360167.679242,25602974.385742,3376349560.847681,1039046.072938,15626015648.320807
